id_category,category_name,creation_date
95c25ead-ae95-4a80-9f33-031aad252879,Oscar,2026-09-06 00:24:11
d4877913-55d3-4fad-8791-64c8fa0ac395,Emilio,2026-09-06 00:25:19
940d96c7-8a62-459a-9c4d-84317f92ca03,Alfaro,2026-09-06 00:26:36
2ddfe10d-dc28-4b2f-b4f0-db156c9535f0,dfsdfgsdfg,2026-09-06 00:33:24
a3b27ea9-2357-4cf1-a787-f0483303beca,asdfadf,2026-09-06 00:33:54
03612589-b854-416e-83c9-190b0df55141,adfasdadsf,2026-09-06 00:34:02
dc4fcc51-448e-440d-a4d1-d856fe353bf7,asdfad,2026-09-06 00:34:44
96c5058e-efed-46af-8c2d-277a8b9544bb,ADFAD,2026-09-06 00:43:36
e5689dc3-bd86-497e-9362-38c2a022db07,oscare,2026-09-06 00:52:08
84d6cbd2-dc14-484e-a51d-0cb142b531e0,adaasdf,2026-09-06 00:55:40
17815356-30e8-4b26-9420-a8f4fe96aec5,ss,2026-09-06 00:55:44
105e019d-b9db-4bc7-ae4d-0fdef1a40440,sss,2026-09-06 00:55:54
ecadd26d-da0c-43d4-be95-e183047df0d5,oscar55,2026-09-06 20:48:36
5538c70d-9fc5-4449-9a38-6bf2e25fd791,Testing,2026-09-06 21:14:09
05606656-89ce-4b87-b23f-5a5d917d5e87,Category name duplicated,2026-09-06 21:17:28
d9699d75-dd4c-454f-897f-c4f37f1ee5c6,adsfadsfadf,2026-09-06 21:35:34
8c414bd2-1ccb-4c2c-a306-041491834a0f,Maria,2026-09-06 21:35:40
e7a56087-2e1a-41bd-a134-49bd2e89ed3a,test,2026-09-06 21:37:28
